codigo,descricao
1,Consultório
2,Sala de Reunião/Estudo
3,Sala de Espera
4,Banheiro Adaptado para PCD
5,Farmácia
6,Almoxarifado de Medicamentos
7,Central de Material Esterilizado
8,Lavanderia
9,Necrotério
10,Sala de Inalação/Nebulização
11,Sala de Imunização/Vacina
12,Sala de Curativos
13,Sala de Gesso
14,Sala de Parto Normal
15,Sala de Pré-Parto
16,Sala de Cirurgia/Centro Cirúrgico
17,Sala de Cirurgia Ambulatorial
18,Centro Obstétrico
19,Sala de Endoscopia
20,Sala de Hemodiálise
21,Sala de Quimioterapia
22,Sala de Recuperação Pós-Anestésica
23,Sala de Raios-X
24,Sala de Ultrassonografia
25,Sala de Tomografia Computadorizada
26,Sala de Ressonância Magnética
27,Sala de Mamografia
28,Sala de Densitometria Óssea
29,Sala de Hemodinâmica
30,Sala de Radioterapia
31,Sala de Medicina Nuclear
32,Banco de Sangue/Hemoterapia
33,UTI Adulto
34,UTI Pediátrica
35,UTI Neonatal
36,UTI Queimados
37,UTI Coronariana (UCO)
38,Unidade de Isolamento
39,Banco de Leite Humano
40,Centro de Atenção Psicossocial (CAPS)
41,Sala de Procedimentos Odontológicos
42,Sala de Coleta
43,Sala de Fisioterapia/Reabilitação
